Date,Food_48m_inflation,Fertilizer_48m_inflation
01/12/2015,-23.52233847,-4.940020333
01/01/2016,-21.9781415,-14.52507135
01/02/2016,-22.59848967,-23.96465955
01/03/2016,-24.57795613,-20.07937398
01/04/2016,-21.23460924,-14.27195569
01/05/2016,-17.47743348,-15.5617855
01/06/2016,-11.16198787,-27.09355048
01/07/2016,-11.70060181,-23.71455395
01/08/2016,-11.80257298,-28.33375711
01/09/2016,-9.70494468,-28.929362
01/10/2016,-10.2363413,-29.51955749
01/11/2016,-11.15821254,-27.90453732
01/12/2016,-9.430122532,-26.28376358
01/01/2017,-5.164224539,-24.23870531
01/02/2017,-2.702370759,-24.52871311
01/03/2017,-2.189424588,-24.22224031
01/04/2017,-2.23254922,-22.50663099
01/05/2017,2.390762605,-28.19665533
01/06/2017,2.951159099,-29.87353776
01/07/2017,1.953297814,-30.9526354
01/08/2017,4.514841863,-28.12683211
01/09/2017,7.627260595,-25.63135729
01/10/2017,5.180387284,-18.20682149
01/11/2017,7.581093006,-14.37734586
01/12/2017,6.22812371,-23.01199005
01/01/2018,9.055569955,-16.45748608
01/02/2018,10.85949837,-3.243325748
01/03/2018,9.48909614,-4.539447393
01/04/2018,8.623520662,-3.406031568
01/05/2018,4.669424323,-4.551412328
01/06/2018,-3.570306436,7.56731922
01/07/2018,-3.583023412,7.802336372
01/08/2018,-3.106332716,16.32972531
01/09/2018,-5.425829922,18.68001855
01/10/2018,-3.336618978,20.8115131
01/11/2018,-5.684510241,24.97246942
01/12/2018,-4.663924436,19.19119742
01/01/2019,-5.607487677,13.05553546
01/02/2019,-4.678774578,10.53522188
01/03/2019,-4.658090752,10.24307142
01/04/2019,-3.866856775,14.86920612
01/05/2019,-7.435454594,23.23433813
01/06/2019,-3.779105374,19.25073693
01/07/2019,-5.255969035,20.0093779
01/08/2019,-4.306398693,15.54370194
01/09/2019,-5.607275982,5.080770488
01/10/2019,-2.597040455,-0.45414445
01/11/2019,0.801451469,-9.231766953
01/12/2019,4.496828063,-1.985849543
01/01/2020,3.567378246,-6.114927894
01/02/2020,-2.588551144,-8.574629433
01/03/2020,-6.346125628,-6.315412448
01/04/2020,-10.89463529,-6.218291558
01/05/2020,-11.73167846,-12.8626613
01/06/2020,-5.417418776,-14.38817481
01/07/2020,-0.857708426,-15.48712453
01/08/2020,2.775072437,-10.17739036
01/09/2020,11.13460185,-11.3501536
01/10/2020,14.39235354,-13.11045989
01/11/2020,22.62684188,-17.16197746
01/12/2020,24.70604137,-11.85093207
01/01/2021,32.26321931,-4.446886162
01/02/2021,33.37987641,17.94958613
01/03/2021,33.77785273,23.59961688
01/04/2021,39.40303678,19.89258876
01/05/2021,50.18426242,25.64313156
01/06/2021,40.10521431,42.94823052
01/07/2021,40.77934417,53.50507049
01/08/2021,45.13489743,59.9468642
01/09/2021,44.65447868,66.3514678
01/10/2021,43.74941896,120.6713705
01/11/2021,40.07743793,172.5256151
01/12/2021,38.13076773,186.3990062
01/01/2022,42.56166913,183.1828799
01/02/2022,56.17404944,177.1381565
01/03/2022,78.74575,217.0973125
01/04/2022,85.54725264,245.940479
01/05/2022,86.15995108,230.8233373
01/06/2022,71.53575647,231.1399192
